dh,sign-up,view-all-sales,view-sales,view-product,add-cart,view-cart,checkout
2013-05-17-10,15080,23029,132581,78450,1649,3213,776
2013-05-17-11,15996,21278,113938,71311,1401,2714,623
2013-05-17-12,19730,19066,97141,68661,1381,2568,634
2013-05-17-13,18952,18687,90383,69183,1251,2725,575
2013-05-17-14,18683,17029,79867,68169,1143,2104,533
2013-05-17-15,17297,18873,71702,48552,929,2121,439
2013-05-17-16,14953,24664,69680,46722,804,1858,387
2013-05-17-17,15615,18319,76131,46894,861,2134,405
2013-05-17-18,11398,18976,83842,45618,732,1836,349
2013-05-17-19,10213,18996,78569,50248,585,1542,220
2013-05-17-20,9133,17955,64596,43318,526,1421,205
2013-05-17-21,6919,17784,47655,29689,412,1354,111
2013-05-17-22,5082,17506,31549,20420,294,741,94
2013-05-17-23,3479,14555,21185,28765,164,583,66
2013-05-18-00,1906,6514,10775,11320,106,381,34
2013-05-18-01,1498,8198,8279,15172,56,294,17
2013-05-18-02,1578,8062,8615,17295,61,141,23
2013-05-18-03,2321,6898,13192,16652,60,181,26
2013-05-18-04,4255,8605,22388,25788,185,477,84
2013-05-18-05,5912,12032,31431,20913,256,694,124
2013-05-18-06,7120,13738,36747,24492,390,1055,203
2013-05-18-07,8035,14380,42358,31670,500,1154,208
2013-05-18-08,10334,35111,230565,111780,2774,5950,1056
2013-05-18-09,9120,22021,130934,73896,1603,3408,697
2013-05-18-10,9077,19285,101675,57772,1315,2764,667
2013-05-18-11,8875,17106,87148,50719,1183,2486,440
2013-05-18-12,9349,16786,80600,51530,1001,2183,428
2013-05-18-13,9846,17133,74306,54946,989,2182,345
2013-05-18-14,9033,15480,68154,46005,728,1423,316
2013-05-18-15,8813,13671,63827,37933,672,1747,275
2013-05-18-16,8725,14328,63210,35768,746,1561,304
2013-05-18-17,8877,15016,65787,36338,621,1367,217
2013-05-18-18,9390,16137,72844,43380,673,1550,261
2013-05-18-19,9272,16068,70769,45300,604,1420,221
2013-05-18-20,7796,15186,61686,43232,494,1171,173
2013-05-18-21,5568,10260,41850,28584,426,920,127
2013-05-18-22,4060,7543,27202,19015,295,763,89
2013-05-18-23,2656,5223,17099,23444,135,315,37
2013-05-19-00,2046,4531,11730,15030,120,332,17
2013-05-19-01,1645,4765,9088,22982,87,286,42
2013-05-19-02,1534,3391,9192,16025,96,133,11
2013-05-19-03,2039,4511,13343,18051,105,188,27
2013-05-19-04,3730,7016,24448,16900,213,514,62
2013-05-19-05,6409,9766,36664,24703,342,727,157
2013-05-19-06,7923,11750,43786,28622,503,1274,239
2013-05-19-07,9594,15838,57303,37252,707,1478,238
2013-05-19-08,13421,41743,270718,161795,6322,13292,2341
2013-05-19-09,12244,26620,159260,98809,3295,7374,1590
2013-05-19-10,11191,21983,118307,76213,2239,4469,906
2013-05-19-11,11763,22384,105197,67982,1679,3807,833
2013-05-19-12,11099,19740,92257,56579,1354,3011,583
2013-05-19-13,11744,18120,84760,53752,1169,2536,555
2013-05-19-14,11873,19199,82110,51921,1136,2472,493
2013-05-19-15,11835,19466,78734,45806,998,2116,456
2013-05-19-16,12084,18925,81358,44648,953,2069,409
2013-05-19-17,13219,22137,96320,47934,1074,2484,426
2013-05-19-18,15983,52617,356509,168833,3476,7626,1361
2013-05-19-19,13403,34290,226193,121355,2272,5271,967
2013-05-19-20,10500,24573,149943,83687,1560,3161,592
2013-05-19-21,7700,15866,89504,51892,897,2510,446
2013-05-19-22,5148,10387,52784,33073,592,1436,246
2013-05-19-23,3389,7896,30637,35984,315,669,144
2013-05-20-00,2193,5740,19151,23058,167,452,73
2013-05-20-01,1841,4052,14972,20040,155,431,85
2013-05-20-02,2002,5037,19911,20572,149,325,58
2013-05-20-03,3113,6441,34838,25722,257,458,67
2013-05-20-04,5838,9822,58229,28968,573,1180,319
2013-05-20-05,9085,14545,77033,40445,795,1495,423
2013-05-20-06,14166,18669,93230,50126,1001,1785,475
2013-05-20-07,16944,23338,110326,66443,1364,2293,594
2013-05-20-08,25454,61041,489079,290523,8143,15693,2052
2013-05-20-09,21406,37258,258944,182577,5124,10875,1659
2013-05-20-10,25100,35604,205077,130899,3898,8144,1253
2013-05-20-11,25702,33212,168736,110659,3095,6274,981
2013-05-20-12,23857,28161,142532,98984,2586,5274,796
2013-05-20-13,22440,26119,130640,91219,2308,4637,741
2013-05-20-14,20882,23336,112884,74971,1764,4035,597
2013-05-20-15,19490,21603,95906,74588,1462,3202,478
2013-05-20-16,21330,29211,106465,66712,1780,3971,545
2013-05-20-17,23242,34849,140023,81419,2300,5183,790
2013-05-20-18,24764,70527,434526,207257,6871,14077,2548
2013-05-20-19,21958,52826,273673,154651,4572,10582,1984
2013-05-20-20,16375,37758,180401,108519,3175,7725,1238
2013-05-20-21,10155,26371,106065,63995,1672,4382,628
2013-05-20-22,6458,17605,61378,40441,1070,2533,369
2013-05-20-23,4050,12980,36633,37761,642,1611,224
2013-05-21-00,2533,6883,19049,19921,271,667,52
2013-05-21-01,2201,6610,13856,20697,146,336,32
2013-05-21-02,2476,5277,18490,19811,194,377,64
2013-05-21-03,4068,7400,33548,25987,323,495,140
2013-05-21-04,6913,11345,52504,31655,647,1170,290
2013-05-21-05,11050,16245,70909,39334,893,1821,320
2013-05-21-06,15634,20659,89378,51657,1186,2236,497
2013-05-21-07,18203,24561,102547,62025,1400,2420,548
2013-05-21-08,25854,51335,389433,189401,5323,9437,2142
